region,pop_fraction,Debt,GDP_per_capita_fraction,root_AP,sum_bau
CAN,0.005684679587724882,-25.164279133137022,0.06420123494470403,0.4004188008297642,16.161346
USA,0.04947590817102306,-336.7175492849626,0.05830058073487837,0.38775519669241676,138.26706
MEX,0.01574820252736413,3.503994090552929,0.04789700094600683,0.3631639856035818,24.909438999999995
RCAM,0.011333191553256504,12.00242471983613,0.054307704927608426,0.3786928887940825,22.526697
BRA,0.02223502055992441,26.445237868377212,0.031100584710134927,0.3144774563493821,41.82647999999999
RSAM,0.02706773353245349,16.248744159677212,0.04297570367393273,0.3502738093422344,53.77564999999999
NAF,0.02568890461053144,20.02442229270773,0.033195211119996404,0.3213846610366729,34.337205999999995
WAF,0.12660083411634374,74.36128131194974,0.030756189123309546,0.31331234534855285,166.92079
EAF,0.07153122105334621,48.64114761026048,0.024885317348692416,0.29195397625124886,59.307641000000004
SAF,0.006589632508483254,-10.04141987531014,0.035781891903912254,0.3295245430445989,18.704403
WEU,0.05013730537189793,-169.48311090265835,0.059647116146025574,0.39071775809671583,105.20223
CEU,0.01119335715418328,-29.66982336014334,0.04661670837109179,0.3598989129013249,19.750021
TUR,0.010483284700070592,5.45000549686344,0.04277632012204973,0.3497312770580524,17.516094000000002
UKR,0.004867072317704141,-16.07322825880923,0.034196599130735666,0.32458439698556873,13.134607999999997
STAN,0.007648464265823641,-9.406867808131967,0.02978630845108884,0.3099837259964932,16.485798000000003
RUS,0.015748435692257097,-67.82490154529148,0.04262700794428568,0.34932388644173146,49.73701999999999
ME,0.04423241278463744,-17.91597420900879,0.03542700894439236,0.32843151904463136,99.16582999999999
INDIA,0.17618239096583704,220.69582478560886,0.029763826905699488,0.3099057184868682,247.76506000000006
KOR,0.006000389432836977,-4.640469698888186,0.05139566311897108,0.371799519868484,14.953446
CHN,0.10842233309121281,106.41114924799402,0.04875847295716455,0.3653283414571427,221.34257999999997
SEAS,0.046462501748856404,51.29470886762743,0.03192468673007505,0.3172309473162591,77.4773
INDO,0.027520960284149,40.945288954636816,0.036473686322734636,0.33163463921031566,51.66865
JAP,0.009802434885267582,-26.862682106041717,0.052718801341655894,0.37496308102712733,22.676325000000002
OCE,0.005514089490170684,-13.815076585945079,0.05816929935149135,0.38746392860538414,13.233287000000002
RSAS,0.0756116358260108,77.19322203350687,0.02375736050838842,0.28747454548027956,100.95217199999999
RSAF,0.0382176037686335,24.397931328729246,0.02875357479794477,0.3063589803490046,58.306534000000006
